,year,month,unc_h,unc_flu,unc_ta,eps
144,2017.0,1.0,15.0390625,-3.720703125,0.474609375,0.946
145,2017.0,1.0,-9.1796875,-3.720703125,0.474609375,0.956
146,2017.0,1.0,15.0390625,3.115234375,0.474609375,0.962
147,2017.0,1.0,15.0390625,-3.720703125,0.626953125,0.944
148,2017.0,1.0,15.0390625,3.115234375,0.626953125,0.96
149,2017.0,1.0,-9.1796875,-3.720703125,0.626953125,0.954
150,2017.0,1.0,-9.1796875,3.115234375,0.474609375,0.97
151,2017.0,1.0,-9.1796875,3.115234375,0.626953125,0.968
152,2017.0,1.0,-4.9609375,1.279296875,-0.525390625,0.978
153,2017.0,1.0,10.8203125,1.279296875,-0.525390625,0.972
154,2017.0,1.0,-4.9609375,-1.884765625,-0.525390625,0.97
155,2017.0,1.0,-4.9609375,1.279296875,-0.373046875,0.976
156,2017.0,1.0,-4.9609375,-1.884765625,-0.373046875,0.968
157,2017.0,1.0,10.8203125,1.279296875,-0.373046875,0.97
158,2017.0,1.0,10.8203125,-1.884765625,-0.525390625,0.964
159,2017.0,1.0,10.8203125,-1.884765625,-0.373046875,0.964
160,2017.0,1.0,-9.9609375,-4.970703125,-0.275390625,0.962
161,2017.0,1.0,15.8203125,-4.970703125,-0.275390625,0.954
162,2017.0,1.0,-9.9609375,-0.634765625,-0.275390625,0.972
163,2017.0,1.0,-9.9609375,-4.970703125,-0.623046875,0.968
164,2017.0,1.0,-9.9609375,-0.634765625,-0.623046875,0.976
165,2017.0,1.0,15.8203125,-4.970703125,-0.623046875,0.958
166,2017.0,1.0,15.8203125,-0.634765625,-0.275390625,0.962
167,2017.0,1.0,15.8203125,-0.634765625,-0.623046875,0.968
168,2017.0,1.0,10.0390625,0.029296875,0.724609375,0.954
169,2017.0,1.0,-4.1796875,0.029296875,0.724609375,0.958
170,2017.0,1.0,10.0390625,4.365234375,0.724609375,0.962
171,2017.0,1.0,10.0390625,0.029296875,0.376953125,0.958
172,2017.0,1.0,10.0390625,4.365234375,0.376953125,0.968
173,2017.0,1.0,-4.1796875,0.029296875,0.376953125,0.964
174,2017.0,1.0,-4.1796875,4.365234375,0.724609375,0.968
175,2017.0,1.0,-4.1796875,4.365234375,0.376953125,0.972
176,2017.0,1.0,0.0390625,-2.470703125,-0.775390625,0.97
177,2017.0,1.0,5.8203125,-2.470703125,-0.775390625,0.968
178,2017.0,1.0,0.0390625,1.865234375,-0.775390625,0.98
179,2017.0,1.0,0.0390625,-2.470703125,0.876953125,0.95
180,2017.0,1.0,0.0390625,1.865234375,0.876953125,0.96
181,2017.0,1.0,5.8203125,-2.470703125,0.876953125,0.948
182,2017.0,1.0,5.8203125,1.865234375,-0.775390625,0.978
183,2017.0,1.0,5.8203125,1.865234375,0.876953125,0.956
184,2017.0,1.0,-19.9609375,2.529296875,0.224609375,0.976
185,2017.0,1.0,-14.1796875,2.529296875,0.224609375,0.974
186,2017.0,1.0,-19.9609375,-3.134765625,0.224609375,0.964
187,2017.0,1.0,-19.9609375,2.529296875,-0.123046875,0.98
188,2017.0,1.0,-19.9609375,-3.134765625,-0.123046875,0.968
189,2017.0,1.0,-14.1796875,2.529296875,-0.123046875,0.978
190,2017.0,1.0,-14.1796875,-3.134765625,0.224609375,0.962
191,2017.0,1.0,-14.1796875,-3.134765625,-0.123046875,0.966
192,2017.0,1.0,-19.94140625,-1.2353515625,-0.1044921875,0.972
193,2017.0,1.0,-0.52734375,-1.2353515625,-0.1044921875,0.966
194,2017.0,1.0,-19.94140625,0.5712890625,-0.1044921875,0.976
195,2017.0,1.0,-19.94140625,-1.2353515625,0.6884765625,0.962
196,2017.0,1.0,-19.94140625,0.5712890625,0.6884765625,0.966
197,2017.0,1.0,-0.52734375,-1.2353515625,0.6884765625,0.956
198,2017.0,1.0,-0.52734375,0.5712890625,-0.1044921875,0.97
199,2017.0,1.0,-0.52734375,0.5712890625,0.6884765625,0.958
200,2017.0,1.0,0.05859375,3.7646484375,0.8955078125,0.962
201,2017.0,1.0,19.47265625,3.7646484375,0.8955078125,0.956
202,2017.0,1.0,0.05859375,-4.4287109375,0.8955078125,0.946
203,2017.0,1.0,0.05859375,3.7646484375,-0.3115234375,0.978
204,2017.0,1.0,0.05859375,-4.4287109375,-0.3115234375,0.96
205,2017.0,1.0,19.47265625,3.7646484375,-0.3115234375,0.972
206,2017.0,1.0,19.47265625,-4.4287109375,0.8955078125,0.938
207,2017.0,1.0,19.47265625,-4.4287109375,-0.3115234375,0.954
208,2017.0,1.0,10.05859375,-3.7353515625,-0.6044921875,0.962
209,2017.0,1.0,-10.52734375,-3.7353515625,-0.6044921875,0.97
210,2017.0,1.0,10.05859375,-1.9287109375,-0.6044921875,0.966
211,2017.0,1.0,10.05859375,-3.7353515625,-0.8115234375,0.964
212,2017.0,1.0,10.05859375,-1.9287109375,-0.8115234375,0.968
213,2017.0,1.0,-10.52734375,-3.7353515625,-0.8115234375,0.972
214,2017.0,1.0,-10.52734375,-1.9287109375,-0.6044921875,0.974
215,2017.0,1.0,-10.52734375,-1.9287109375,-0.8115234375,0.976
216,2017.0,1.0,-9.94140625,1.2646484375,0.3955078125,0.968
217,2017.0,1.0,9.47265625,1.2646484375,0.3955078125,0.96
218,2017.0,1.0,-9.94140625,3.0712890625,0.3955078125,0.972
219,2017.0,1.0,-9.94140625,1.2646484375,0.1884765625,0.97
220,2017.0,1.0,-9.94140625,3.0712890625,0.1884765625,0.974
221,2017.0,1.0,9.47265625,1.2646484375,0.1884765625,0.964
222,2017.0,1.0,9.47265625,3.0712890625,0.3955078125,0.964
