start_date,fpar,fpar_qc,fpar_lai_qc,fpar_stdev,lai500,lai_stdev,start_date,Year,Month,Day,timestamp
2017-08-13,0.9,0.0,0.0,2.0,0.02,2.0,2017-08-13,2017,8,13,2017-08-13
2017-08-21,0.9,0.0,32.0,1.0,0.01,1.0,2017-08-21,2017,8,21,2017-08-21
2017-08-29,0.85,8.0,32.0,0.0,0.0,0.0,2017-08-29,2017,8,29,2017-08-29
2017-09-06,0.43,0.0,0.0,0.0,0.0,0.0,2017-09-06,2017,9,6,2017-09-06
2017-09-14,0.86,8.0,0.0,2.0,0.02,2.0,2017-09-14,2017,9,14,2017-09-14
2017-09-22,0.88,0.0,32.0,248.0,2.48,248.0,2017-09-22,2017,9,22,2017-09-22
2017-09-30,0.86,0.0,32.0,1.0,0.01,1.0,2017-09-30,2017,9,30,2017-09-30
2017-10-08,0.84,0.0,32.0,1.0,0.01,1.0,2017-10-08,2017,10,8,2017-10-08
2017-10-16,0.86,8.0,0.0,0.0,0.0,0.0,2017-10-16,2017,10,16,2017-10-16
2017-10-24,0.85,0.0,32.0,4.0,0.04,4.0,2017-10-24,2017,10,24,2017-10-24
2017-11-01,0.86,32.0,32.0,7.0,0.07,7.0,2017-11-01,2017,11,1,2017-11-01
2017-11-09,0.89,0.0,32.0,1.0,0.01,1.0,2017-11-09,2017,11,9,2017-11-09
2017-11-17,0.85,0.0,0.0,0.0,0.0,0.0,2017-11-17,2017,11,17,2017-11-17
2017-11-25,0.86,8.0,32.0,0.0,0.0,0.0,2017-11-25,2017,11,25,2017-11-25
2017-12-03,0.62,0.0,0.0,1.0,0.01,1.0,2017-12-03,2017,12,3,2017-12-03
2017-12-11,0.89,32.0,32.0,248.0,2.48,248.0,2017-12-11,2017,12,11,2017-12-11
2017-12-19,0.8200000000000001,0.0,0.0,1.0,0.01,1.0,2017-12-19,2017,12,19,2017-12-19
2017-12-27,0.76,8.0,32.0,1.0,0.01,1.0,2017-12-27,2017,12,27,2017-12-27
